geneid,feature_name,counts_tpm_round,sample,size,mu,fc,log2FC,lower_than_p,higher_than_p,p_value,p_adj,refseq_id,type,all_kegg_gene_names,gene_definition,all_kegg_paths_name,num_of_paths
ENSG00000136861,CDK5RAP2,16,Spleen,437.42663182399,21.5771164575262,0.741526330985674,-0.431430172392229,0.14109210467131,0.85890789532869,0.282184209342621,0.678364686217073,55755,"","",,,1
ENSG00000136883,KIF12,4,Spleen,2332625.79394736,1.39842230268771,2.86036628013738,1.51619990109549,0.985808856568205,0.0141911434317951,0.0283822868635903,0.232394993518986,113220,CDS,(RefSeq) kinesin family member 12,,Motor proteins,1
ENSG00000136891,TEX10,13,Spleen,1250971.16223919,13.1727490539881,0.986885876799133,-0.0190448334025717,0.554059878160638,0.445940121839362,0.891880243678724,0.920841232373395,54881,CDS,(RefSeq) testis expressed 10,,Polycomb repressive complex,1
ENSG00000136997,MYC,21,Spleen,5.46047137354113,85.1988170964364,0.246482295361333,-2.02044407226685,0.00985052882204265,0.990149471177957,0.0197010576440853,0.174289104280987,4609,CDS,"(RefSeq) MYC proto-oncogene, bHLH transcription factor",,"MAPK signaling pathway, ErbB signaling pathway, Cell cycle, PI3K-Akt signaling pathway, Cellular senescence, Wnt signaling pathway, TGF-beta signaling pathway, Hippo signaling pathway, Signaling pathways regulating pluripotency of stem cells, JAK-STAT signaling pathway, Thyroid hormone signaling pathway, Salmonella infection, Hepatitis C, Hepatitis B, Human cytomegalovirus infection, Human T-cell leukemia virus 1 infection, Kaposi sarcoma-associated herpesvirus infection, Epstein-Barr virus infection, Pathways in cancer, Transcriptional misregulation in cancer, Proteoglycans in cancer, MicroRNAs in cancer, Chemical carcinogenesis - receptor activation, Colorectal cancer, Endometrial cancer, Thyroid cancer, Bladder cancer, Chronic myeloid leukemia, Acute myeloid leukemia, Small cell lung cancer, Breast cancer, Hepatocellular carcinoma, Gastric cancer, Central carbon metabolism in cancer",34
ENSG00000137145,DENND4C,17,Spleen,75.7609944625656,9.32419374377112,1.82321393861604,0.866483859276714,0.988623500080451,0.0113764999195489,0.0227529998390979,0.195401968301228,55667,"","",,,1
ENSG00000137203,TFAP2A,3,Spleen,6636042.38578312,1.00424046285785,2.98733232821814,1.57885774036144,0.980750733987099,0.0192492660129006,0.0384985320258011,0.285320515891006,7020,"","",,,1
ENSG00000137265,IRF4,2,Spleen,3.96335755562829,31.6894629007427,0.0631124612703085,-3.98593130282456,0.00203471705285657,0.997965282947144,0.00406943410571313,0.0514300180534561,3662,CDS,(RefSeq) interferon regulatory factor 4,,Th17 cell differentiation,1
ENSG00000138002,IFT172,20,Spleen,13.4748344511021,18.6397630425355,1.0729750133819,0.101616480111447,0.64279432448653,0.35720567551347,0.714411351026941,0.784955318368022,26160,"","",,,1
ENSG00000138378,STAT4,2,Spleen,7.570373825162,20.0509499379565,0.0997458976352036,-3.32559868260569,0.00130985654855238,0.998690143451448,0.00261971309710477,0.0354999923146683,6775,CDS,(RefSeq) signal transducer and activator of transcription 4,,"Necroptosis, JAK-STAT signaling pathway, Th1 and Th2 cell differentiation, Hepatitis B, Pathways in cancer, Inflammatory bowel disease",6
ENSG00000138413,IDH1,26,Spleen,7.93520716901811,53.9810219553376,0.48165075536198,-1.05394066655476,0.0645377785202486,0.935462221479751,0.129075557040497,0.678364686217073,3417,CDS,(RefSeq) isocitrate dehydrogenase (NADP(+)) 1,,"Citrate cycle (TCA cycle), Glutathione metabolism, Metabolic pathways, Carbon metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids, Peroxisome, Central carbon metabolism in cancer",8
ENSG00000139618,BRCA2,3,Spleen,11864377.3226006,2.3815562927775,1.25968049090338,0.333057850675064,0.782568906393814,0.217431093606186,0.434862187212373,0.678364686217073,675,CDS,(RefSeq) BRCA2 DNA repair associated,,"Homologous recombination, Fanconi anemia pathway, Pathways in cancer, Pancreatic cancer, Breast cancer",5
ENSG00000139687,RB1,19,Spleen,41.2121499288221,21.2981530422397,0.892096134454388,-0.164728908029446,0.396602136934401,0.603397863065599,0.793204273868803,0.846140879681116,5925,CDS,(RefSeq) RB transcriptional corepressor 1,,"Endocrine resistance, Cell cycle, Cellular senescence, Cushing syndrome, Hepatitis C, Hepatitis B, Human cytomegalovirus infection, Human papillomavirus infection, Human T-cell leukemia virus 1 infection, Kaposi sarcoma-associated herpesvirus infection, Epstein-Barr virus infection, Pathways in cancer, Viral carcinogenesis, Chemical carcinogenesis - receptor activation, Pancreatic cancer, Glioma, Prostate cancer, Melanoma, Bladder cancer, Chronic myeloid leukemia, Small cell lung cancer, Non-small cell lung cancer, Breast cancer, Hepatocellular carcinoma, Gastric cancer",25
ENSG00000139722,VPS37B,25,Spleen,15.3770284065844,40.0386202608571,0.624397140488897,-0.679464164573356,0.100707278830726,0.899292721169274,0.201414557661453,0.678364686217073,79720,CDS,(RefSeq) VPS37B subunit of ESCRT-I,,Endocytosis,1
ENSG00000139946,PELI2,20,Spleen,246.200237605922,9.99611560776548,2.00077718033423,1.0005605082101,0.998016486270147,0.00198351372985269,0.00396702745970537,0.0502944475949265,57161,"","",,,1
ENSG00000139974,SLC38A6,5,Spleen,61037789.7372636,6.5481305793898,0.763576709318759,-0.389154996680316,0.36208303640514,0.637916963594861,0.724166072810279,0.792496423393876,145389,"","",,,1
ENSG00000139985,ADAM21,1,Spleen,10888477.7155621,1.02882298081884,0.971984509136936,-0.0409947736174261,0.725156947942372,0.274843052057628,0.549686104115257,0.678364686217073,8747,"","",,,1
ENSG00000140259,MFAP1,48,Spleen,176.684183752287,30.7592780403094,1.56050476662999,0.642012764038889,0.996747146682341,0.00325285331765867,0.00650570663531734,0.0754376832254867,4236,"","",,,1
